Date,Time,Open,High,Low,Close,Tick volume
2025.01.03,22:30:00,1.02911,1.02983,1.02892,1.02967,1329
2025.01.03,22:45:00,1.02965,1.03023,1.02954,1.03002,1095
2025.01.03,23:00:00,1.03001,1.03057,1.02889,1.0289,3396
2025.01.03,23:15:00,1.02891,1.0291,1.02734,1.0275,2208
2025.01.03,23:30:00,1.02751,1.02848,1.02729,1.02833,1910
2025.01.03,23:45:00,1.02833,1.02891,1.02808,1.02891,1853
2025.01.04,00:00:00,1.02891,1.02943,1.0286,1.02893,1279
2025.01.04,00:15:00,1.02894,1.02959,1.02894,1.02956,1037
2025.01.04,00:30:00,1.02957,1.02997,1.02866,1.02897,1113
2025.01.04,00:45:00,1.02896,1.02908,1.02835,1.02907,906
2025.01.04,01:00:00,1.02908,1.03033,1.02908,1.03025,1454
2025.01.04,01:15:00,1.03025,1.03045,1.02989,1.03022,868
2025.01.04,01:30:00,1.03023,1.03057,1.02984,1.02998,862
2025.01.04,01:45:00,1.02997,1.03028,1.02972,1.02979,980
2025.01.04,02:00:00,1.02979,1.02986,1.02924,1.02981,846
2025.01.04,02:15:00,1.02981,1.03013,1.02962,1.03012,786
2025.01.04,02:30:00,1.0301,1.03021,1.02975,1.0298,660
2025.01.04,02:45:00,1.02982,1.02992,1.02937,1.02973,366
2025.01.04,03:00:00,1.02971,1.02984,1.02937,1.02979,357
2025.01.04,03:15:00,1.02979,1.03045,1.02975,1.03037,500
2025.01.04,03:30:00,1.03037,1.03059,1.03027,1.03055,344
2025.01.04,03:45:00,1.03054,1.03055,1.02985,1.03012,655
2025.01.04,04:00:00,1.03011,1.03065,1.02987,1.03065,684
2025.01.04,04:15:00,1.03065,1.03075,1.03023,1.03029,484
2025.01.04,04:30:00,1.03028,1.03037,1.03009,1.03017,321
2025.01.04,04:45:00,1.03018,1.03071,1.03013,1.03059,471
2025.01.04,05:00:00,1.03058,1.03099,1.03047,1.03071,422
2025.01.04,05:15:00,1.0307,1.03079,1.03065,1.03076,241
2025.01.04,05:30:00,1.03076,1.03078,1.03058,1.0307,165
2025.01.04,05:45:00,1.0307,1.03091,1.03066,1.03066,451
2025.01.06,06:00:00,1.03015,1.03033,1.03015,1.03033,74
2025.01.06,06:15:00,1.03033,1.03051,1.03033,1.03047,128
2025.01.06,06:30:00,1.03047,1.0306,1.03041,1.03058,175
2025.01.06,06:45:00,1.03058,1.03062,1.02932,1.03009,529
2025.01.06,07:00:00,1.03009,1.03062,1.03009,1.03052,427
2025.01.06,07:15:00,1.03054,1.03065,1.03047,1.03054,203
2025.01.06,07:30:00,1.03053,1.03072,1.03035,1.03071,289
2025.01.06,07:45:00,1.0307,1.0308,1.0304,1.03051,367
2025.01.06,08:00:00,1.03051,1.03053,1.02957,1.02965,565
2025.01.06,08:15:00,1.02965,1.03001,1.02962,1.02972,393
2025.01.06,08:30:00,1.02973,1.02977,1.02955,1.02969,367
2025.01.06,08:45:00,1.02969,1.03046,1.02968,1.03031,523
2025.01.06,09:00:00,1.03031,1.03068,1.03012,1.03063,501
2025.01.06,09:15:00,1.03066,1.03112,1.03054,1.0307,618
2025.01.06,09:30:00,1.03069,1.03093,1.03052,1.03087,530
2025.01.06,09:45:00,1.03089,1.03136,1.03079,1.03123,654
2025.01.06,10:00:00,1.03123,1.03176,1.03107,1.03168,623
2025.01.06,10:15:00,1.03168,1.03173,1.0312,1.03133,491
2025.01.06,10:30:00,1.03133,1.03159,1.03117,1.03146,351
2025.01.06,10:45:00,1.03146,1.03177,1.03145,1.0316,436
2025.01.06,11:00:00,1.0316,1.03181,1.03145,1.03162,381
2025.01.06,11:15:00,1.03163,1.03174,1.03147,1.03154,285
2025.01.06,11:30:00,1.03153,1.03163,1.0313,1.03147,336
2025.01.06,11:45:00,1.03147,1.03182,1.03142,1.03163,270
2025.01.06,12:00:00,1.03162,1.03175,1.03139,1.03139,280
2025.01.06,12:15:00,1.0314,1.03156,1.03128,1.03154,212
2025.01.06,12:30:00,1.03154,1.0317,1.03153,1.03162,169
